Haber;Kategorizasyon
kagithane seyrantepede evinin onunde scooter ile yokus asagiya kayan cocuk otomobilin altinda kalarak agir sekilde yaralandi kucuk cocugun haftadir yogun bakimda yasam mucadelesi verdigi ogrenilirken gozaltina alinan surucunun ise savcilik tarafindan serbest birakildigi ortaya cikti olayla ilgili sorusturma sureci devam ediyor seyrantepede evinin onunde scooter ile kayan cocuk otomobilin altinda kaldi kaza gectigimiz kasim cumartesi gunu saat siralarinda kagithane seyrantepede meydana geldi edinilen bilgiye gore ogle saatlerinde otomobiline binen yasindaki yilmaz salter sokakta yokusa asagiya gitmeye basladi o esnada evinin onune oynayan yasindaki ahir hasan kilicli da scooter ile asagiya dogru harekete gecti otomobil surucusu yokus asagiya kayan cocuga carparak altinda aldiktan sonra metrelerce surukledi aracin altinda kalan cocugu goren vatandaslarin bagirislariyla otomobil surucusu durdu olayin ardindan ihbar uzerine olay yerine saglik itfaiye ve polis ekibi sevk edildi kisa surede olay yerine gelen saglik ekipleri agir yarali cocugu yaptiklari ilk mudahalenin ardindan sariyer cayirbasindaki sisli hamidiye etfal egitim ve arastirma hastanesine kaldirilarak tedavi altina aldi ameliyata alinan cocugun vucudundaki bircok kemigin kirildigi ogrenildi ameliyattan cikan cocugun yogun bakim servisinde yasam mucadelesi verdigi ve boynundan asagisini hissetmedigi bilgisine ulasildi polis ekipleri ise olay yerinde inceleme yaparak kazayla ilgili tutanak tuttu surucu yilmaz salter ise olay sonrasinda polis ekipleri tarafindan gozaltina alindi emniyette ifadesi alinarak taksirle yaralama sucundan adli islemi yapilan yasindaki surucu salter savcilik tarafindan serbest birakildi olayla ilgili sorusturma sureci devam ediyor;teknoloji 
canakkalede kaz daglarindan beslenen bayramic barajinin yuzde a dusen su seviyesi yagislar sonrasi ayda yuzde a ulasti turkiyede ozellikle son yillarda yasanan kuraklik nedeniyle barajlarin doluluk oranlari dustu mitolojide bin pinarli ida olarak gecen kaz daglarindan beslenen milyon metrekup su kapasitesine sahip bayramic barajinda su seviyesi ekim ayinin ortalarinda yuzde seviyelerine kadar geriledi bunun uzerine baraj tarimsal sulamalara kapatildi kentte kasim ve aralik ayi ortalarinda yagislar etkili oldu aylik surede etkili olan saganak sonrasi bayramic barajinin seviyesi yuzde a cikti bayramic ziraat odasi genel sekreteri gulsin zeybekoglu baraj seviyesinin yukselmesinin sevindirici oldugunu belirterek ciftcilerin ekim ve sulama sezonlarinda su kullanimina dikkat etmeleri gerektigini vurguladi ekim ayinin ortalarinda bayramic barajinin su seviyesini yuzde lara dustugunu soyleyen zeybekoglu aralik ayinin ortalarina kadar etkili olan saganak yagislar ve kaz daglarina yagan kar ile bayramic barajinin doluluk orani yuzde seviyelerine yukseldi barajimizin su seviyesinin yukselmesi bizim icin sevindirici ama ekim ve sulama sezonu basladiginda ureticilerimizin su kullanimina dikkat etmeleri gerekiyor kaz daglarina gecen sene kar yagisinin cok az olmasindan dolayi bayramic barajinin doluluk orani olumsuz etkilenmistir bu yil ise kaz daglarinda kar yagisinin beklenen gunlerde gelmesi sevindirici bu yil kar yagisinin istedigimiz gibi olmasi durumunda baraj seviyesinin doluluk orani artacagi icin olumlu yonde etkilenecek diye konustu;teknoloji 
ankaragucucaykur rizespor maci sonrasinda faruk kocanin saldirisina ugrayan hakem halil umut meler taburcu oldu taburcu islemlerinin ardindan aciklama yapan bashekim prof dr mehmet yorubulut deneyimli hakemin gozundeki sislik harici saglik durumunun iyi oldugunu belirtti melerin izmire ailesinin yanina dogru yola cikti;teknoloji 
yili ekim ayinda olarak elde edilmis olan dis ticaret haddi yili ekim ayinda puan artarak oldu turkiye istatistik kurumu tuik yili ekim ayi dis ticaret endekslerini acikladi buna gore ihracat birim deger endeksi ekim ayinda bir onceki yilin ayni ayina gore yuzde artti endeks bir onceki yilin ayni ayina gore gida icecek ve tutunde yuzde azaldi ham maddelerde yakit haric yuzde azaldi yakitlarda yuzde azaldi imalat sanayinde gida icecek tutun haric yuzde artti ihracat miktar endeksi yuzde artti ihracat miktar endeksi ekim ayinda bir onceki yilin ayni ayina gore yuzde artti endeks bir onceki yilin ayni ayina gore gida icecek ve tutunde yuzde artti ham maddelerde yakit haric yuzde azaldi yakitlarda yuzde artti imalat sanayinde gida icecek tutun haric yuzde artti ithalat birim deger endeksi ekim ayinda bir onceki yilin ayni ayina gore yuzde azaldi endeks bir onceki yilin ayni ayina gore gida icecek ve tutunde yuzde azaldi yakitlarda yuzde azaldi ham maddelerde yakit haric yuzde azaldi imalat sanayinde gida icecek tutun haric yuzde azaldi ithalat miktar endeksi ekim ayinda bir onceki yilin ayni ayina gore yuzde artti endeks bir onceki yilin ayni ayina gore gida icecek ve tutunde yuzde artti ham maddelerde yakit haric yuzde azaldi yakitlarda yuzde artti imalat sanayinde gida icecek tutun haric yuzde artti mevsim ve takvim etkilerinden arindirilmis seriye gore ihracat miktar endeksi eylul ayinda iken ekim ayinda yuzde oraninda azalarak oldu takvim etkilerinden arindirilmis seriye gore ise ihracat miktar endeksi yili ekim ayinda iken yili ekim ayinda yuzde oraninda artarak oldu mevsim ve takvim etkilerinden arindirilmis seriye gore ithalat miktar endeksi eylul ayinda iken ekim ayinda yuzde oraninda artarak oldu takvim etkilerinden arindirilmis seriye gore ise ithalat miktar endeksi yili ekim ayinda iken yili ekim ayinda yuzde oraninda artarak oldu dis ticaret haddi yili ekim ayinda olarak gerceklesti ihracat birim deger endeksinin ithalat birim deger endeksine bolunmesiyle hesaplanan ve yili ekim ayinda olarak elde edilmis olan dis ticaret haddi puan artarak yili ekim ayinda oldu;teknoloji 
insaat maliyet endeksi yillik yuzde artti aylik yuzde artti turkiye istatistik kurumu tuik ekim ayi insaat maliyet endeksini acikladi buna gore insaat maliyet endeksi yili ekim ayinda bir onceki aya gore yuzde artti bir onceki yilin ayni ayina gore yuzde artti bir onceki aya gore malzeme endeksi yuzde artti iscilik endeksi yuzde artti ayrica bir onceki yilin ayni ayina gore malzeme endeksi yuzde artti iscilik endeksi yuzde artti bina insaati maliyet endeksi bir onceki aya gore yuzde artti bir onceki yilin ayni ayina gore yuzde artti bir onceki aya gore malzeme endeksi yuzde artti iscilik endeksi yuzde artti ayrica bir onceki yilin ayni ayina gore malzeme endeksi yuzde artti iscilik endeksi yuzde artti bina disi yapilar icin insaat maliyet endeksi bir onceki aya gore yuzde artti bir onceki yilin ayni ayina gore yuzde artti bir onceki aya gore malzeme endeksi yuzde artti iscilik endeksi yuzde artti ayrica bir onceki yilin ayni ayina gore malzeme endeksi yuzde artti iscilik endeksi yuzde artti;teknoloji 
sabit fiyatlarla perakende satis hacmi ekim ayinda bir onceki aya gore yuzde artti turkiye istatistik kurumu tuik ekim ayi perakende satis endekslerini aciklayacak buna gore sabit fiyatlarla perakende satis hacmi yili ekim ayinda bir onceki yilin ayni ayina gore yuzde artti ayni ayda gida icecek ve tutun satislari yuzde artti gida disi satislar otomotiv yakiti haric yuzde artti otomotiv yakiti satislari ise yuzde azaldi perakende satis hacmi aylik yuzde artti sabit fiyatlarla perakende satis hacmi ekim ayinda bir onceki aya gore yuzde artti ayni ayda gida icecek ve tutun satislari yuzde artti gida disi satislar otomotiv yakiti haric yuzde artti otomotiv yakiti satislari ise yuzde azaldi perakende ciro yillik artti cari fiyatlarla perakende ciro ekim ayinda bir onceki yilin ayni ayina gore yuzde artti ayni ayda gida icecek ve tutun satislari yuzde artti gida disi satislar otomotiv yakiti haric yuzde artti otomotiv yakiti satislari ise yuzde artti perakende ciro yillik yuzde arti cari fiyatlarla perakende ciro ekim ayinda bir onceki aya gore yuzde artti ayni ayda gida icecek ve tutun satislari yuzde artti gida disi satislar otomotiv yakiti haric yuzde artti otomotiv yakiti satislari ise yuzde azaldi;teknoloji 
borsa istanbulda bist endeksi gune yuzde dususle puandan basladi acilista bist endeksi onceki kapanisa gore puan azalisla ve yuzde deger kaybiyla puana indi bankacilik endeksi yuzde ve holding endeksi yuzde azalis kaydetti sektor endeksleri arasinda en fazla kazandiran yuzde ile orman kagit basim en cok gerileyen ise yuzde ile kimya petrol plastik oldu dun dalgali bir seyir izleyen borsa istanbulda bist endeksi gunu yuzde deger kazanciyla puandan tamamladi yilin son faiz karari analistler kuresel pay piyasalarinda abdde enflasyonun yavaslamaya devam etmesinin ardindan pozitif bir seyir izlendigini ifade ederek abd merkez bankasinin fed bugun aciklayacagi yilin son faiz karari ve fed baskani jerome powellin toplanti sonrasi yapacagi aciklamalarin yatirimcilarin odagina yerlestigini soyledi sabit kalmasi kesin gibi fedin art arda ucuncu toplantida politika faizini yuzde araliginda sabit tutmasina kesin gozuyle bakildigini aktaran analistler fed baskani jerome powellin sozle yonlendirmelerinde bankanin gelecek donem para politikasina iliskin ipuclari aranacagini dile getirdi analistler bugun yurt icinde perakende satislar yurt disinda ise ingilterede sanayi uretimi ve gsyh avro bolgesinde sanayi uretimi abdde fedin faiz karari ve powellin aciklamalarinin yani sira uretici fiyat endeksi verilerinin takip edilecegini belirterek teknik acidan bist endeksinde ve seviyelerinin destek ve puanin direnc konumunda oldugunu kaydetti;teknoloji 
istanbulda yasa disi bahis oynattigi belirlenen zanlilara yonelik operasyon duzenlendi operasyonda supheli gozaltina alindi istanbulda duzenlenen yasa disi bahis operasyonunda supheli gozaltina alindi istanbul emniyet mudurlugu siber suclarla mucadele sube mudurlugu ekipleri yasa disi bahis sucunun onlenmesi ve suclularin yakalanmasina yonelik calisma yuruttu calismalarda cevrim ici sitelerde bahis oynamak icin para yatirma ve cekme islemlerinin kontrolune yonelik banka hesaplarinin olusturuldugunu belirleyen ekipler para trafiginin takibi icin ise ofis evlerinin kiralandigini buralarda vardiyali ve maas karsiliginda calisan zanlilarin bulunduklarini tespit etti suphelilerin uncu kisilerden temin edilen banka hesaplarini ev veya ofislerde bulunan telefonlara tanimladiklarini belirleyen ekipler bu hesaplar uzerinden yasa disi bahisten saglanan paralarin nakline aracilik edildigini ortaya cikardi ekipler calismalarini tamamladiktan sonra zeytinburnunda belirlenen adrese duzenledikleri es zamanli operasyonda zanliyi yakaladi adreslerdeki aramalarda cep telefonu sim kart dizustu bilgisayar ruhsatsiz tabanca ile uyusturucu ele gecirildi supheliler islemleri icin emniyete goturuldu;teknoloji 
turkiyenin uzay yolcusu alper gezeravci son hazirliklarini tamamladi cumhuriyet tarihinin ilk insanli uzay gorevini gerceklestirmek uzere cok yakin zamanda uluslararasi uzay istasyonuna hareket edecek ilk astronot gezeravci bu ucus icin yakinda karantina surecine girecek sanayi ve teknoloji bakani mehmet fatih kacir cumhuriyet tarihinin ilk insanli uzay gorevini gerceklestirecek alper gezeravcinin son hazirliklarini tamamladigini acikladi bakan kacir astronomiden matematige tiptan geometriye bircok alanda cigir acmis bir medeniyetin mirascilari olarak uzay calismalarinda daha kapsamli ve sistematik bir yaklasimla hareket etmek amaciyla yil once bugun turkiye uzay ajansini tua kurduklarini soyledi artik gun sayiyoruz turkiye yuzyilinda uzayda biz de variz dediklerini ve uzay bilimi ve teknolojilerinin gelistirilmesinde dunyanin sayili ulkelerinden biri olma yolunda hizla ilerlediklerini belirten kacir milli uzay programinin en onemli bilesenlerinden biri olan turk astronot ve bilim misyonu hedefi icin de artik gun saydiklarini dile getirdi kacir ilk defa bir turkun uluslararasi uzay istasyonunda bilimsel deneyler gerceklestirmek uzere cok yakin bir zamanda uzaya gonderileceginin altini cizdi bakan kacir tua tubitak uzay ve axiom space uzmanlarinin detayli secim surecinin sonunda bin aday arasindan secilen ilk uzay yolculari alper gezeravci ile tuva cihangir ataseverin isimlerinin cumhurbaskani recep tayyip erdogan tarafindan nisanda istanbul teknofestte duyuruldugunu hatirlatti yakinda karantinaya girecek kacir uzay goreviyle ilgili son gelismeler konusunda su bilgileri verdi bu misyon turkiyenin bilimsel ve teknolojik potansiyelini gostermesi acisindan oldukca kritik bir oneme sahip ulkemizin degerli bilim insanlari ve arastirma kurumlari tarafindan hazirlanan farkli bilimsel deney uzayda gerceklestirilecek uzay tarihcemiz icin onemli bir kilometre tasi olan bu misyon ayni zamanda uzay bilimine isik tutacak uzay yolcumuz alper gezeravci son hazirliklarini tamamladi cumhuriyet tarihinin ilk insanli uzay gorevini icra etmek uzere cok yakin zamanda uluslararasi uzay istasyonuna hareket edecek ilk astronotumuz bu ucus icin yakinda karantina surecine girecek yerli ay araci da gonderilecek bakan kacir calismalari devam eden ay gorevine iliskin de tuanin kurulusu ve milli uzay programinin ilani ile uzaya dair gelecek vizyonlarini ortaya koyduklarini soyledi bu vizyonu hayata gecirecek kurumsal yapiyi olusturmak icin calistiklarini belirten kacir uzay tarihcesinden aldigimiz birikimle ilk derin uzay gorevi ay arastirma programi icin hibrit itki sistemi ucus bilgisayari ve pek cok yerli uydu ekipmanini gelistirmeye devam ediyoruz ayin yorungeden kesfinde kullanilacak ve ay yuzeyine sert inis gerceklestirecek uzay aracimiz milli imkanlar ve bircok yerli alt sistemi icerecek sekilde gelistiriliyor gorev kapsaminda uzay aracinin on tasarim sistem seviyesi tasarim asamasi tamamlandi ayrintili tasarim ekipmanmodulbilesen gelistirme asamasi faaliyetleri ise devam ediyor diye konustu yerli uydu ve alt sistem calismalari kacir uzay ve roket test merkezleri uzay sistemleri tasarim ve test laboratuvarlari uydu haberlesme ve uzaktan algilama arastirma merkezleri yer kontrol istasyonlari optik sistemler arastirma ve uygulama altyapilariyla her gecen gun daha yetkin hale gelmeye devam ettigini soyledi turkiyenin haberlesme uydularini uretebilen ulkeden biri oldugunu vurgulayan kacir sunlari kaydetti uzay sistemleri alaninda montaj entegrasyon ve test hizmetleri saglayan uluslararasi bir oyuncu konumundayiz un ikinci ceyreginde gokyuzuyle bulusacak ilk yerli haberlesme uydumuz turksat a bunun en onemli gostergelerinden biri milli uzay programinda yer alan uzay ekosisteminin gelistirilmesi hedefi icin en onemli adimlardan birisi de bu alandaki ihracatimizin artirilmasidir cesitli ulkelerle uydu ve uydu alt sistemlerinin tedariki konusunda gorusmelerimiz suruyor inaniyorum ki yakin zamanda ozel sektorumuzle bu alandaki ihracatimizi artiracak yeni isbirliklerine sahit olacagiz onumuzdeki yillarda turk sirketlerinin cok sayidaki ticari uydularini hem alcak irtifada de hem de yuksek irtifada gorebilecegiz tam bagimsizlik idealiyle kurulmus cumhuriyetimizin ikinci asrinda turkiye yuzyilinda koklerden goklere emin adimlarla ilerliyoruz;teknoloji 
toki ilde konut ve ilde is yerini acik artirma ile satisa sunuyor toki istanbul hizmet binasinda gerceklestirilecek acik artirma surecinin ayrintilari paylasildi peki toki acik artirma konut ve is yeri ne zaman saat kacta yapilacak toki acik artirma canli yayin bilgileri cevre sehircilik ve iklim degisikligi bakanligi toplu konut idaresi baskanligi toki ilde konut ile ilde is yerini aralik tarihlerinde acik artirma yontemiyle satacak alicilar konutlara pesinat ay vade ile is yerlerine ise pesinat ay vade ile sahip olabilecek acik artirma konutlar icin aralik carsamba is yerleri icin aralik persembe gunlerinde saat da yapilacak acik artirmalar ankara the green park hotel cukurambar ile toki istanbul hizmet binasinda yapilacak ilde konut ve ilde is yeri acik artirimi cevre sehircilik ve iklim degisikligi bakanligi toplu konut idaresi baskanligi tokinin resmi youtube sitesi uzerinden canli olarak yayinlanacaktoki acik artirma canli yayini icin tiklayin alicilar adana agri ankara aydin balikesir batman diyarbakir erzurum eskisehir gumushane istanbul izmir kars kayseri kirikkale kocaeli konya kutahya manisa mus nevsehir nigde osmaniye siirt sivas sanliurfa tekirdag tokat tunceli van yozgat ve zonguldak illerinde satisa sunulan konutlara yuzde pesinat ay vadeyle sahip olabilecek ayrica afyonkarahisar agri ankara aydin balikesir bartin bursa corum denizli elazig eskisehir giresun gumushane hatay izmir kars kastamonu kirsehir kocaeli konya kutahya nigde ordu sakarya sivas sanliurfa tekirdag ve trabzon illerinde satisa sunulan is yerleri ise yuzde pesinat ile ay vadeyle alinabilecek;teknoloji 
samsunda ormanda kacak kazi yapan supheli actiklari cukurda sucustu yakalandi carsamba ilce jandarma komutanligi ile carsamba suc arastirma timi ekipleri ormanda kacak kazi yapildigi bilgine ulasti operasyon duzenleyen ekipler metre derinliginde metre genisliginde acilan cukurda kisiyi sucustu yakaladi supheliler gozaltina alinirken bolgede hilti metre elektrik kablosu murc kurek kazma keser ve baret ele gecirildi;teknoloji 
antalyada ogrencisini merdivenden iterek yaralanmasina neden olan ve yil hapsi istenen ozel okul muduru tcye bin lira adli para cezasi verildi antalyada ozel bir okulda sinif ogretmeni ebru baloglu kizi anbyi muratpasa ilcesinde egitim veren ozel okula kaydettirdi gecen mart ayinda anbnin yuzunde ve dizlerinde morluklar goren ebru baloglu kizina ne oldugunu sordugunda okulun sahibi ve muduru tc tarafindan merdivenden itildigini ogrendi darp raporu aldi ebru baloglu kizini antalya egitim ve arastirma hastanesine goturup muayene ettirdi ve darp raporu aldi raporda anbnin alninda ve yuzunun sag tarafinda agri iki dizinde agri ve sislik sol elinde kizariklik oldugu tespit edildi baloglu raporla polis merkezine giderek tc hakkinda sikayetci oldu savcilik sikayet uzerine baslattigi sorusturmanin ardindan tc hakkinda kasten yaralama suclamasiyla iddianame hazirladi tcnin kamu gorevlisi olduguna atifta bulunan savcilik iddianamede suphelinin uzerine atili sucu isledigi anlasilmakta ifadelerine yer verdi yila kadar hapis savcilik ayrica tc hakkinda kamu gorevinden mahrum birakilmasi kasten yaralama sucundan yila kadar hapis cezasi yaralamanin basit tibbi mudahale ile giderilemeyeceginden verilen cezanin yari oranda artirilmasi ayrica kamu gorevlisi olmasi nedeniyle bulundugu konumu kullanarak siddet uygulamasi nedeniyle yari oranda bir kez daha artirilmasini isteyerek yila kadar hapsini talep etti antalya asliye ceza mahkemesi iddianameyi kabul etti tcnin beraatini talep eden sanik avukatlarinin aksine hakim tc hakkinda gun adli para cezasi verdi cezayi sanigin kamu gorevlisi olmasi ve gorevini kotuye kullanmasi gerekcesiyle yari oranda artirip nufuzunu kotuye kullanmasi nedeniyle de te oranda artirarak toplamda gun para cezasi verildi gunluk iyi hal indirimi uygulanan tc hakkinda verilen gunluk para cezasi bin liraya cevrilerek dava karara baglandi hakli oldugumuz ispatlandi kararin ardindan aciklama yapan ebru baloglu hakim ve savci adaletin yerini bulmasi icin dikkatli davrandi objektif bir sekilde davayi degerlendirdi ceza almasi bizim icin yeterli sonucta hakli oldugumuz ispatlandi bu da bize yeterli oldu diger ailelere de ornek olsun bu gibi durumlarda haklarini mutlaka arasinlar kimseden korkmaya gerek yok dedi;teknoloji 
gumruk kanunu ve buna dayali mevzuata aykiri hareket edenlere uygulanan usulsuzluk cezasi ile fazla calisma ucretlerine iliskin tutarlar yuzde olarak belirlenen yeniden degerleme oraninda artirildi gumruk islemlerine yonelik ceza tutari ile fazla calisma ucretleri yeniden belirlendi ticaret bakanliginca hazirlanan gumruk genel tebligi resmi gazetede yayimlandi tebligle gumruk kanunu ve ilgili yonetmelikte yer alan bazi tutarlar yuzde olarak tespit edilen yeniden degerleme oraninda guncellendi buna gore kanun ve gumruk yonetmeliginde belirtilen usulsuzluk cezalari ocak den itibaren lira olacak gumruklerde fazla calisma ucreti ihracat icin lira diger islemler icin lira turk plakali kamyonlar icin fazla calisma ucreti kamyon basina ihracat icin lira diger islemler icin lira olarak belirlendi gumruk ve dis ticaret bolge mudurlukleri ile bakanligin gumruk vergilerini geri verme veya kaldirma islemlerindeki parasal sinirlar da artirildi teblig ocak te yururluge girecek;dunya 
chp genel baskani ozgur ozel hicbir partiyle secim ittifakina kapali olmadigini yerel secimde partisi turkiye ve istanbul icin en iyi sonucu almak istedigini belirterek butun partilerle ve o partilerin cok degerli uyeleriyle sempatizanlariyla oy verenleriyle bir buyuk ittifaki olusturmanin turkiyenin yararina oldugunu dusunuyorum dedi iyi partinin ittifak talebini kabul etmemesi uzerine ozel gittigim yer dusman karargahi el kapisi degil eski dosttan dusman olmaz alinan karara saygi duyuyorum ifadelerini kullandi chp genel baskani ozgur ozel canli yayinda gundeme iliskin sorulari yanitladi memleket partisi genel baskani muharrem inceyi chpye davet edip etmeyecegi sorulan ozel baba ocagi cagrimi kisiye ozel degil butun turkiyeye yapiyorum kim kendini bu eve ait hissediyorsa bu evin kapisi acik dedi ozel ince ile telefonda mesajlastiklarini kaydederek ekrem baskandan randevu istemis bizim ekrem baskanla aramizda soyle bir iliski var birbirimizin bilmesi gereken ne varsa soyluyoruz obur turlu o kadar cok kirli bilgi falan var ki saglikli bir iletisimimiz var ekrem baskan muharrem ince randevu istiyor dedi ben de siz kamu gorevlisisiniz bir partinin genel baskani mutlaka konusacagi onemli seyler vardir dedim diye konustu incenin yapilan gorusmenin ardindan imamogluna destegini acikladiginin hatirlatilmasi uzerine ozel cok dogru bir sey yapmis hem muharrem inceye hem de cumhuriyeti seven istanbulu seven turkiyeyi seven herkese bu yakisir bu secim herhangi bir secim degil ekrem imamogluna oy vermek istanbulun gelecegine sahip cikmaktir mansur yavasa oy vermek ankaradaki talanin karsisindaki bu durust yonetime sahip cikmaktir ifadelerini kullandi incenin izmir adayligi iddialari incenin izmir buyuksehir belediye baskanligina adayliginin konusuldugu yonundeki iddialarin animsatilmasi uzerine ozel izmir meselesini ekrem bey de soyledi boyle bir sey konusmadiklarini sunu buyuk bir saygisizlik kabul ederim bir partinin genel baskanina baska bir partinin genel baskani belediye baskanligi teklif edecek olacak bir sey degil ben bu noktada degilim muharrem beyin de boyle bir talebi oldugunu dusunmuyorum diye konustu incenin partisiyle chpye katilmasina sicak bakip bakmayacagi sorulan ozel partinin partiye katilmasi baska bir prosedur bir siyasi parti varligimi sonlandiriyorum kendimi yakin hissettigim partiye donme iradem var derse o zaman boyle donebilirler diyebilirim varsa boyle bir niyetleri beyan edilir sonra gerisi konusulur gelecegim diyene seni istemeyiz demeyiz dedi izmirde memnuniyet anketini yapariz yerel secimlere deginen ozel imamoglu ve yavasin adayliklarinin henuz resmi olmadigini ancak genel baskan olarak iradesinin bu yonde oldugunu soyledi ozel adaylari memnuniyet anketlerine gore belirleyeceklerini halkin memnun olmadigi oylarini yukari tasimayan isimlerin aday yapilmayacagini kaydetti izmirde tunc bey secildiginden ileride degilse parti oyundan asagidaysa aday olmayacak mi sorusuna karsilik ozel suphesiz olmayacak net hicbiri olmayacak chpli belediye baskanlari partisini yukari cekiyorsa halk memnunsa listelerde yer alacak bu cevap tunc beye ozel bir cevap degildir diye konustu ozel izmir adayi konusunda ekrem imamoglu ile aralarinda anlasmazlik oldugu iddialarin hatirlatilmasi uzerine ekrem baskanin izmir ile ilgili bir sey soyledigi yok izmirde memnuniyet anketini yapariz anket olumlu ise baskanimizla devam ederiz olumsuzsa aday degistirmeye karar veririz dedi kahramanmaras merkezli depremlerin ardindan chpli hatay belediye baskanini basarili bulup bulmadigi sorulan ozel hatayda verecegimiz karar cok tarihi bir karar olacak depremden sonra halk baskan hakkinda ne dusunuyorsa o karara uyacagiz yanitini verdi ozel kentte yasanan yikimda belediye baskaninin sorumlulugu olup olmadiginin sorulmasi uzerine hatayda yikim yasanirsa herkesin sorumlulugu vardir bir kusur bicilecekse yerel yonetimlerin hic kusuru yoktur demek mumkun degil belediyeden biri bizim onun kusurunu ben alirim dedi iyi partinin ittifak talebini reddetmesi iyi partinin yerel secimde ittifak talebini reddetmesinin ardindan kendisini nasil hissettigi sorulan ozel soyle yanit verdi gayet iyi hissediyorum ustume duseni yaptim chp genel baskanina ne sorumluluk dusuyor bir ittifak ihtimali varsa gidip bunu son kez zorlamak gittigim yer dusman karargahi el kapisi degil eski dosttan dusman olmaz alinan karara saygi duyuyorum birileri iyi partilileri boyle linc ediyor falan ben oyle bakmiyorum meseleye turkiye bizden fedakarlik isbirligi bekliyor halen umudumu kaybetmis de degilim;siyaset 
saadet partisi kocaeli milletvekili hasan bitmez tbmm kursusunde konusma yaptigi sirada bayginlik gecirdi ilk mudahalesi mecliste yapilan bitmez ambulansla hastaneye kaldirildi kalbi duran ve hastanede yogun bakima alinan milletvekilinin durumunun kritik oldugu ifade ediliyor saadet partisi kocaeli milletvekili hasan bitmez turkiye buyuk millet meclisinde devam eden butce gorusmelerinde konusma yaptigi sirada kursude bayginlik gecirdi bitmez tbmm genel kurulunda meclis adalet bakanligi disisleri bakanligi ve yuksek yargi kurumlarinin yili butcelerinin gorusmelerinde partisi adina soz aldi hasan bitmez konusmasinda israilin gazzeye saldirilari ve hukumetin dis politikasina iliskin degerlendirmelerde bulundu bitmez dakika suren konusmasini tamamlayip genel kurula yonelik hepinizi saygiyla selamliyorum ifadesini kullandiktan hemen sonra yere yigildi kafasini mermer basamaga carpti bitmez bu sirada kafasini kursunun arkasinda bulunan mermer basamaga carpti milletvekilleri bitmeze mudahale etmek icin kursuye dogru kostu dakikalarca kalp masaji yapildi doktor milletvekillerinden iyi parti balikesir milletvekili turhan comez ile ak parti usak milletvekili ismail gunes bitmeze kalp masaji uyguladi bu sirada diger doktor milletvekilleri de bitmezin yanina geldi bitmeze uygulanan kalp masaji yaklasik dakika surdu bitmez daha sonra genel kurul salonuna getirilen sedye ile ambulansa tasindi bitmeze sedye uzerinde kalp masaji yapilmaya devam edildi bilkent sehir hastanesinde tedavi altina alinan bitmezin saglik durumunun ciddiyetini korudugu belirtildi hayati tehlikesi suruyor bilkent sehir hastanesinden aktaran ntv muhabiri oyku tuccar bitmezin hastaneye entube edilerek getirildigini ve tedaviye alindigindan bu yana da milletvekilinin saglik durumunun ciddiyetini korudugunu ifade etti saadet partisi genel baskani temel karamollaoglu bitmezin kalp hastaliklarinin yani sira ayrica seker hastasi oldugu bilgisini de vermisti ozgur ozel ziyaret edecek dunden bu yana bircok siyasi isim tarafindan gecmis dilekleri iletilen bitmezi bugun saat da chp genel baskani ozgur ozel de ziyaret edecek hasan bitmez kimdir hasan bitmez yilinda giresunun alucra ilcesinde dogdu gebze imam hatip lisesini bitiren bitmez elezher universitesi usuluddin fakultesinde ogrenim gordu gebze imam hatip lisesi mezunlar dernegi milli genclik vakfi anadolu genclik dergisi international islamic federation of student organizations international youth form ekonomik ve sosyal arastirmalar merkezi gibi pek cok sivil toplum kurulusunda kuruculuk ve baskanlik gorevleri basta olmak uzere cesitli kademelerde gorev yapti arapca ve ingilizce bilen bitmez halen islam birligi arastirmalari merkezi baskanidir saadet partisi secim isleri baskani ve tbmm donem kocaeli milletvekili olan bitmez evli ve bir cocuk babasidir;dunya 
antalya balikesir istanbul izmir kutahya manisa mugla mersin sivas trabzon ve yozgatta bazi alanlarin orman sinirlari disina cikarilmasina karar verildi resmi gazetede yer alan cumhurbaskani kararina gore antalya balikesir istanbul izmir kutahya manisa mugla mersin sivas trabzon ve yozgattaki bazi alanlar orman sinirlari disina cikarildi kararda orman sinirlari disina cikarilan alanlarin iki katindan az olmamak uzere devletin hukum ve tasarrufu altinda veya hazinenin ozel mulkiyetinde bulunan tasinmazlardan cevre sehircilik ve iklim degisikligi bakanligi milli emlak genel mudurlugu tarafindan orman genel mudurlugune orman tesis etmek uzere tahsis yapilacagi belirtildi;teknoloji 
son dakika haberi canakkale bogazi gemi trafigi saat itibariyla olumsuz hava kosullari nedeniyle cift yonlu gecici olarak askiya alindi son dakika haberi canakkale bogazinda sis etkili oluyor kiyi emniyeti genel mudurlugunun sosyal medya hesabindan yapilan aciklamaya gore bogaz saat itibariyla cift yonlu olarak kapatildi;teknoloji 
